State ID,States,Programming Languages,Languages,Education,Visualizations,Packages and Libraries,Tools
16,Thuringia,SQL,German,,,,
16,Thuringia,SQL,German,,,,
16,Thuringia,SQL,German,,,,
16,Thuringia,SQL,German,,,,
16,Thuringia,SQL,German,,,,
16,Thuringia,SQL,German,,,,
16,Thuringia,SQL,German,,,,
16,Thuringia,SQL,German,,,,
16,Thuringia,SQL,German,,,,
16,Thuringia,SQL,German,,,,
16,Thuringia,SQL,German,,,,
16,Thuringia,SQL,German,,,,
16,Thuringia,SQL,German,,,,
16,Thuringia,SQL,German,,,,
16,Thuringia,SQL,German,,,,
16,Thuringia,SQL,German,,,,
16,Thuringia,SQL,German,,,,
16,Thuringia,SQL,German,,,,
16,Thuringia,R,German,,,,
16,Thuringia,R,German,,,,
16,Thuringia,,German,,,,
16,Thuringia,,German,,,,
16,Thuringia,,German,,,,
16,Thuringia,,German,,,,
16,Thuringia,,German,,,,
16,Thuringia,,German,,,,
16,Thuringia,,German,,,,
16,Thuringia,,German,,,,
16,Thuringia,,German,,,,
2,Bavaria,Python,English,Master,Tableau,Pandas,PowerPoint
2,Bavaria,Python,English,Master,Tableau,Keras,Google Analytics
2,Bavaria,Python,English,Master,Tableau,PyTorch,Google Data Studio
2,Bavaria,Python,English,Master,Tableau,,Google Data Studio
2,Bavaria,Python,English,Bachelor,Tableau,,Google Data Studio
2,Bavaria,Python,English,Bachelor,Tableau,,Adobe Analytics
2,Bavaria,Python,English,Bachelor,Tableau,,Excel
2,Bavaria,Python,English,Bachelor,Tableau,,Excel
2,Bavaria,Python,English,Bachelor,Tableau,,Excel
2,Bavaria,Python,English,,Tableau,,Excel
2,Bavaria,SQL,English,,QLIK,,Excel
2,Bavaria,SQL,English,,Looker,,Excel
2,Bavaria,SQL,English,,Power BI,,Excel
2,Bavaria,SQL,English,,,,Excel
2,Bavaria,SQL,English,,,,Excel
2,Bavaria,SQL,English,,,,Excel
2,Bavaria,SQL,English,,,,
2,Bavaria,SQL,English,,,,
2,Bavaria,SQL,English,,,,
2,Bavaria,SQL,English,,,,
2,Bavaria,SQL,English,,,,
2,Bavaria,SQL,English,,,,
2,Bavaria,SQL,German,,,,
2,Bavaria,SQL,German,,,,
2,Bavaria,SQL,German,,,,
2,Bavaria,SQL,German,,,,
2,Bavaria,NoSQL,German,,,,
2,Bavaria,VBA,German,,,,
2,Bavaria,R,German,,,,
2,Bavaria,R,German,,,,
2,Bavaria,R,German,,,,
2,Bavaria,R,German,,,,
2,Bavaria,,German,,,,
2,Bavaria,,German,,,,
2,Bavaria,,German,,,,
2,Bavaria,,German,,,,
2,Bavaria,,German,,,,
2,Bavaria,,German,,,,
2,Bavaria,,German,,,,
2,Bavaria,,German,,,,
2,Bavaria,,German,,,,
2,Bavaria,,German,,,,
2,Bavaria,,German,,,,
2,Bavaria,,German,,,,
3,Berlin,Python,English,Master,Tableau,Pandas,PowerPoint
3,Berlin,Python,English,Master,Tableau,,PowerPoint
3,Berlin,Python,English,Bachelor,Tableau,,Google Analytics
3,Berlin,Python,English,Bachelor,Tableau,,Google Analytics
3,Berlin,Python,English,Bachelor,Tableau,,Google Analytics
3,Berlin,Python,English,,Tableau,,Google Analytics
3,Berlin,Python,English,,Tableau,,Google Analytics
3,Berlin,Python,English,,Tableau,,Google Data Studio
3,Berlin,Python,English,,Tableau,,Excel
3,Berlin,Python,English,,Tableau,,Excel
3,Berlin,Python,English,,Tableau,,Excel
3,Berlin,Python,English,,Tableau,,Excel
3,Berlin,Python,English,,Tableau,,Excel
3,Berlin,Python,English,,Tableau,,Excel
3,Berlin,Python,English,,Tableau,,Excel
3,Berlin,Python,English,,Tableau,,Excel
3,Berlin,Python,English,,Tableau,,Excel
3,Berlin,Python,English,,Tableau,,Excel
3,Berlin,Python,English,,Tableau,,Excel
3,Berlin,Python,English,,Tableau,,
3,Berlin,Python,English,,Tableau,,
3,Berlin,Python,English,,QLIK,,
3,Berlin,Python,English,,Looker,,
3,Berlin,Python,English,,Looker,,
3,Berlin,Python,English,,Looker,,
3,Berlin,Python,English,,Looker,,
3,Berlin,Python,English,,Looker,,
3,Berlin,Python,English,,Looker,,
3,Berlin,Python,English,,Looker,,
3,Berlin,Python,English,,Power BI,,
3,Berlin,SQL,English,,Power BI,,
3,Berlin,SQL,English,,Power BI,,
3,Berlin,SQL,German,,Power BI,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,German,,,,
3,Berlin,SQL,French,,,,
3,Berlin,SQL,French,,,,
3,Berlin,SQL,,,,,
3,Berlin,SQL,,,,,
3,Berlin,SQL,,,,,
3,Berlin,SQL,,,,,
3,Berlin,SQL,,,,,
3,Berlin,SQL,,,,,
3,Berlin,SQL,,,,,
3,Berlin,SQL,,,,,
3,Berlin,Java,,,,,
3,Berlin,Java,,,,,
3,Berlin,Java,,,,,
3,Berlin,Java,,,,,
3,Berlin,JavaScript,,,,,
3,Berlin,Scala,,,,,
3,Berlin,Scala,,,,,
3,Berlin,Scala,,,,,
3,Berlin,SAS,,,,,
3,Berlin,VBA,,,,,
3,Berlin,VBA,,,,,
3,Berlin,R,,,,,
3,Berlin,R,,,,,
3,Berlin,R,,,,,
3,Berlin,R,,,,,
3,Berlin,R,,,,,
3,Berlin,R,,,,,
3,Berlin,R,,,,,
3,Berlin,R,,,,,
3,Berlin,R,,,,,
3,Berlin,R,,,,,
3,Berlin,R,,,,,
4,Brandenburg,SQL,English,Master,Looker,Selenium,Excel
4,Brandenburg,SQL,English,Bachelor,Looker,,Excel
4,Brandenburg,SQL,English,Bachelor,Looker,,Excel
4,Brandenburg,Java,English,,Looker,,Excel
4,Brandenburg,JavaScript,English,,Looker,,Excel
4,Brandenburg,JavaScript,English,,,,
4,Brandenburg,Scala,English,,,,
4,Brandenburg,Scala,English,,,,
4,Brandenburg,Scala,English,,,,
4,Brandenburg,Scala,English,,,,
4,Brandenburg,Scala,English,,,,
4,Brandenburg,NoSQL,English,,,,
4,Brandenburg,NoSQL,English,,,,
4,Brandenburg,VBA,English,,,,
4,Brandenburg,VBA,English,,,,
4,Brandenburg,VBA,English,,,,
4,Brandenburg,VBA,English,,,,
4,Brandenburg,VBA,English,,,,
4,Brandenburg,,English,,,,
4,Brandenburg,,English,,,,
4,Brandenburg,,English,,,,
4,Brandenburg,,English,,,,
4,Brandenburg,,English,,,,
4,Brandenburg,,English,,,,
4,Brandenburg,,English,,,,
4,Brandenburg,,English,,,,
4,Brandenburg,,English,,,,
4,Brandenburg,,English,,,,
4,Brandenburg,,English,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
4,Brandenburg,,German,,,,
5,Bremen,Python,English,Bachelor,Tableau,,
5,Bremen,SQL,English,,Power BI,,
5,Bremen,R,German,,,,
6,Hamburg,Python,English,Master,Tableau,,PowerPoint
6,Hamburg,Python,English,Master,Tableau,,PowerPoint
6,Hamburg,Python,English,Master,Tableau,,PowerPoint
6,Hamburg,Python,English,Master,Tableau,,Google Analytics
6,Hamburg,Python,English,Bachelor,Tableau,,Google Analytics
6,Hamburg,Python,English,Bachelor,QLIK,,Google Analytics
6,Hamburg,Python,English,,Looker,,Adobe Analytics
6,Hamburg,Python,English,,Power BI,,Excel
6,Hamburg,Python,English,,Power BI,,Excel
6,Hamburg,Python,English,,,,Excel
6,Hamburg,Python,English,,,,Excel
6,Hamburg,SQL,English,,,,Excel
6,Hamburg,SQL,English,,,,Excel
6,Hamburg,SQL,English,,,,Excel
6,Hamburg,SQL,English,,,,Excel
6,Hamburg,SQL,English,,,,Excel
6,Hamburg,SQL,English,,,,
6,Hamburg,SQL,English,,,,
6,Hamburg,SQL,English,,,,
6,Hamburg,SQL,English,,,,
6,Hamburg,SQL,English,,,,
6,Hamburg,SQL,English,,,,
6,Hamburg,SQL,English,,,,
6,Hamburg,SQL,English,,,,
6,Hamburg,SQL,English,,,,
6,Hamburg,Java,English,,,,
6,Hamburg,NoSQL,English,,,,
6,Hamburg,PHP,English,,,,
6,Hamburg,VBA,English,,,,
6,Hamburg,R,English,,,,
6,Hamburg,R,English,,,,
6,Hamburg,R,English,,,,
6,Hamburg,,English,,,,
6,Hamburg,,German,,,,
6,Hamburg,,German,,,,
6,Hamburg,,German,,,,
6,Hamburg,,German,,,,
6,Hamburg,,German,,,,
6,Hamburg,,German,,,,
6,Hamburg,,German,,,,
6,Hamburg,,German,,,,
6,Hamburg,,German,,,,
6,Hamburg,,German,,,,
6,Hamburg,,German,,,,
6,Hamburg,,German,,,,
6,Hamburg,,German,,,,
6,Hamburg,,German,,,,
6,Hamburg,,German,,,,
6,Hamburg,,German,,,,
6,Hamburg,,German,,,,
6,Hamburg,,German,,,,
6,Hamburg,,German,,,,
6,Hamburg,,German,,,,
6,Hamburg,,German,,,,
7,Hesse,Python,English,Master,Tableau,,PowerPoint
7,Hesse,Python,English,Master,Tableau,,PowerPoint
7,Hesse,Python,English,Master,Tableau,,PowerPoint
7,Hesse,Python,English,Bachelor,Tableau,,Google Analytics
7,Hesse,Python,English,Bachelor,Looker,,Excel
7,Hesse,Python,English,Bachelor,Power BI,,Excel
7,Hesse,Python,English,Bachelor,Power BI,,Excel
7,Hesse,Python,English,Bachelor,Power BI,,Excel
7,Hesse,Python,English,Bachelor,Power BI,,Excel
7,Hesse,Python,English,Bachelor,Power BI,,Excel
7,Hesse,Python,English,Bachelor,Power BI,,Excel
7,Hesse,Python,English,Bachelor,,,Excel
7,Hesse,Python,English,Bachelor,,,Excel
